token,class,category,source,approved_at,unknown_id,ranking_score,correct,eval_split
WF18X40,W,,human_approved,2026-07-22T10:32:26.362786+00:00,cfd6295d,,,
A1064,A,,human_approved,2026-07-22T10:40:07.782289+00:00,f949a1b0,,,
A108,A,,human_approved,2026-07-22T10:40:12.451664+00:00,20f0e3a5,,,
HSSCUSTOM99,HSS,,human_approved,2026-07-22T10:42:12.160426+00:00,5b5c62a7,,,
A2,A,,human_approved,2026-07-22T10:42:12.991574+00:00,a7593937,,,
A3,A,,human_approved,2026-07-22T10:42:14.733340+00:00,ba489706,,,
A307,A,,human_approved,2026-07-22T10:42:15.236675+00:00,165a9c86,,,
A325,A,,human_approved,2026-07-22T10:42:15.600129+00:00,e1e3e995,,,
A36,A,,human_approved,2026-07-22T10:42:15.887155+00:00,18d51ab5,,,
A500,A,,human_approved,2026-07-22T10:42:16.143144+00:00,47950ffe,,,
A53,A,,human_approved,2026-07-22T10:42:16.447200+00:00,f98dda4b,,,
A568,A,,human_approved,2026-07-22T10:42:16.761212+00:00,10c044cf,,,
A572,A,,human_approved,2026-07-22T10:42:17.068717+00:00,8086460d,,,
A588,A,,human_approved,2026-07-22T10:42:17.359716+00:00,4e768be2,,,
A6,A,,human_approved,2026-07-22T10:42:17.697106+00:00,884a11a0,,,
A615,A,,human_approved,2026-07-22T10:42:18.010219+00:00,bf05289c,,,
A653,A,,human_approved,2026-07-22T10:42:18.207323+00:00,162958c5,,,
A706,A,,human_approved,2026-07-22T10:42:18.498516+00:00,d1956b0b,,,
A913,A,,human_approved,2026-07-22T10:42:18.820197+00:00,c25116d7,,,
A970,A,,human_approved,2026-07-22T10:42:19.151713+00:00,457f5f0a,,,
A992,A,,human_approved,2026-07-22T10:42:19.476586+00:00,ae46f744,,,
HSS10X0,HSS,,human_approved,2026-07-22T10:42:19.676348+00:00,208ce62c,,,
HSS16X0,HSS,,human_approved,2026-07-22T10:42:19.991844+00:00,c5a5c0b2,,,
HSS18X0,HSS,,human_approved,2026-07-22T10:42:20.346748+00:00,7abce840,,,
L1x1x1/4,L,,human_approved,2026-07-22T10:42:20.515556+00:00,ce0f3877,,,
L4X3,L,,human_approved,2026-07-22T10:42:21.945646+00:00,e5c183b8,,,
L4x4,L,,human_approved,2026-07-22T10:42:22.145126+00:00,018cb43b,,,
L5X3,C,,human_approved,2026-07-22T10:42:22.364542+00:00,573c93ca,,,
L6X3,L,,human_approved,2026-07-22T10:42:22.692810+00:00,b41e36d0,,,
S-001,S,,human_approved,2026-07-22T10:42:23.011437+00:00,89ba915d,,,
S-002,S,,human_approved,2026-07-22T10:42:24.007299+00:00,5720b3ee,,,
S-003,S,,human_approved,2026-07-22T10:42:24.267215+00:00,7a636c3d,,,
S-004,S,,human_approved,2026-07-22T10:42:24.559306+00:00,6d038903,,,
S-111,S,,human_approved,2026-07-22T10:42:24.722613+00:00,815cbf6f,,,
S-112,S,,human_approved,2026-07-22T10:42:24.869477+00:00,4e426b1c,,,
S-113,S,,human_approved,2026-07-22T10:42:25.066111+00:00,4b21f295,,,
S-201,S,,human_approved,2026-07-22T10:42:25.216098+00:00,7481b537,,,
S-202,S,,human_approved,2026-07-22T10:42:25.399018+00:00,7bb396b7,,,
S-203,S,,human_approved,2026-07-22T10:42:25.727968+00:00,19e73553,,,
S-204,S,,human_approved,2026-07-22T10:42:25.920727+00:00,2ff574d5,,,
S-205,S,,human_approved,2026-07-22T10:42:26.118244+00:00,22da513c,,,
S-206,S,,human_approved,2026-07-22T10:42:26.426995+00:00,eaed5214,,,
S-301,S,,human_approved,2026-07-22T10:42:26.693705+00:00,28c1a644,,,
S-311,S,,human_approved,2026-07-22T10:42:26.961842+00:00,0820e24e,,,
S-312,S,,human_approved,2026-07-22T10:42:27.158870+00:00,cc4ed7c8,,,
S-321,S,,human_approved,2026-07-22T10:42:27.340259+00:00,6ccb77f1,,,
S-322,S,,human_approved,2026-07-22T10:42:27.506518+00:00,ac48f858,,,
S-401,S,,human_approved,2026-07-22T10:42:27.825685+00:00,1d4f8f04,,,
S-402,S,,human_approved,2026-07-22T10:42:27.998755+00:00,e50641df,,,
S-403,S,,human_approved,2026-07-22T10:42:28.190434+00:00,7cdca397,,,
S-404,S,,human_approved,2026-07-22T10:42:28.367704+00:00,6545c14f,,,
S-501,S,,human_approved,2026-07-22T10:42:28.728639+00:00,a3430ece,,,
S-502,S,,human_approved,2026-07-22T10:42:28.924363+00:00,eddbee84,,,
S-601,S,,human_approved,2026-07-22T10:42:29.076701+00:00,64899be0,,,
A205,A,,human_approved,2026-07-22T10:46:22.334004+00:00,ea6af1ee,,,
A5,A,,human_approved,2026-07-22T10:46:23.498269+00:00,a66630f3,,,
HSS10x10,HSS,,human_approved,2026-07-22T10:46:29.218115+00:00,97f1c910,,,
HSS3x3,HSS,,human_approved,2026-07-22T10:46:30.051040+00:00,d81bce6a,,,
HSS6x8x1/2,HSS,,human_approved,2026-07-22T10:46:30.735137+00:00,bbc42c9c,,,
HSS8X8,HSS,,human_approved,2026-07-22T10:46:32.639116+00:00,aec23a96,,,
A2280,A,,human_approved,2026-07-22T10:46:37.273064+00:00,3c8357d8,,,
A29,A,,human_approved,2026-07-22T10:46:38.521679+00:00,d2725a1d,,,
A416,A,,human_approved,2026-07-22T10:46:39.652187+00:00,02e0b033,,,
A446,A,,human_approved,2026-07-22T10:46:40.493522+00:00,7f3d2601,,,
A490,A,,human_approved,2026-07-22T10:46:41.314923+00:00,e76ca4dd,,,
A563,A,,human_approved,2026-07-22T10:48:02.648220+00:00,f8bcfc9a,,,
A959,A,,human_approved,2026-07-22T10:48:06.378661+00:00,80fb611c,,,
HSS5x5,HSS,,human_approved,2026-07-22T10:48:07.142994+00:00,2580418b,,,
L18x12x3/8,L,,human_approved,2026-07-22T10:48:07.813937+00:00,b5536f4d,,,
S-101,S,,human_approved,2026-07-22T10:49:29.901538+00:00,d67a9453,,,
S-102,S,,human_approved,2026-07-22T10:49:33.563194+00:00,4b7646bd,,,
S-103,S,,human_approved,2026-07-22T10:49:39.107587+00:00,c3d8a74b,,,
S-104,S,,human_approved,2026-07-22T10:49:39.934810+00:00,aa2f244b,,,
S-207,S,,human_approved,2026-07-22T10:49:40.654950+00:00,77a33aa7,,,
S-208,S,,human_approved,2026-07-22T10:49:41.509446+00:00,5afdd9d7,,,
W14X198,W,,human_approved,2026-07-22T10:49:48.470911+00:00,c65eadf2,,,
A153,A,,human_approved,2026-07-22T10:50:53.332578+00:00,82fd2233,,,
A496,A,,human_approved,2026-07-22T10:50:54.596449+00:00,10982610,,,
A525,A,,human_approved,2026-07-22T10:50:55.381137+00:00,915c6db6,,,
A775,A,,human_approved,2026-07-22T10:50:56.137642+00:00,9cf7275b,,,
A780,A,,human_approved,2026-07-22T10:50:57.217278+00:00,475f1a64,,,
HSS12x12,HSS,,human_approved,2026-07-22T10:51:02.443922+00:00,42fc9952,,,
HSS14x0,HSS,,human_approved,2026-07-22T10:51:03.098885+00:00,28ecad3b,,,
HSS14x10,HSS,,human_approved,2026-07-22T10:51:03.771511+00:00,7b690acb,,,
HSS14x14,HSS,,human_approved,2026-07-22T10:51:04.634309+00:00,4c0b6d51,,,
HSS6x6,HSS,,human_approved,2026-07-22T10:51:05.537045+00:00,690316da,,,
HSS8X6,HSS,,human_approved,2026-07-22T10:51:06.196835+00:00,d5849361,,,
HSS8x4,HSS,,human_approved,2026-07-22T10:51:07.366619+00:00,65c405e0,,,
L6x4x1/4,L,,human_approved,2026-07-22T10:51:15.563528+00:00,e9ece82c,,,
L7x7x1/2,L,,human_approved,2026-07-22T10:51:16.125267+00:00,5e912be4,,,
W18x36,W,,human_approved,2026-07-22T10:51:16.682079+00:00,32341fff,,,
S-000,S,,human_approved,2026-07-22T10:54:39.758503+00:00,21302e9d,,,
S-005,S,,human_approved,2026-07-22T10:54:40.961895+00:00,e0c61231,,,
S-100,S,,human_approved,2026-07-22T10:54:41.541707+00:00,8c488f38,,,
