id,token,category,prediction,model_probability,overall_confidence,confidence_level,uncertain,source_file,regex_suggested,status,reviewed_category,reviewed_class,notes,created_at,updated_at
cfd6295d,WF18X40,,W,0.2395,0.4085,Low,True,test.pdf,WF\d+X\d+,approved,,W,,2026-07-22T10:32:26.336326+00:00,2026-07-22T10:32:26.362786+00:00
5b5c62a7,HSSCUSTOM99,,HSS,0.9995,0.7997,Medium,False,,HSSCUSTOM\d+,approved,,HSS,,2026-07-22T10:35:52.647238+00:00,2026-07-22T10:42:12.160426+00:00
f949a1b0,A1064,,C,0.241,0.4092,Low,True,ST - Springhill Lake.pdf,A\d+,approved,,A,,2026-07-22T10:38:19.501557+00:00,2026-07-22T10:40:07.782289+00:00
20f0e3a5,A108,,C,0.241,0.4092,Low,True,ST - Springhill Lake.pdf,A\d+,approved,,A,,2026-07-22T10:38:19.552742+00:00,2026-07-22T10:40:12.451664+00:00
a7593937,A2,,C,0.2518,0.4147,Low,True,ST - Springhill Lake.pdf,A\d+,approved,,A,,2026-07-22T10:38:19.591209+00:00,2026-07-22T10:42:12.991574+00:00
ba489706,A3,,C,0.2518,0.4147,Low,True,ST - Springhill Lake.pdf,A\d+,approved,,A,,2026-07-22T10:38:19.638977+00:00,2026-07-22T10:42:14.733340+00:00
165a9c86,A307,,C,0.2518,0.4147,Low,True,ST - Springhill Lake.pdf,A\d+,approved,,A,,2026-07-22T10:38:19.679519+00:00,2026-07-22T10:42:15.236675+00:00
e1e3e995,A325,,C,0.4681,0.5228,Low,True,ST - Springhill Lake.pdf,A\d+,approved,,A,,2026-07-22T10:38:19.728578+00:00,2026-07-22T10:42:15.600129+00:00
18d51ab5,A36,,C,0.2518,0.4147,Low,True,ST - Springhill Lake.pdf,A\d+,approved,,A,,2026-07-22T10:38:19.778633+00:00,2026-07-22T10:42:15.887155+00:00
47950ffe,A500,,C,0.2518,0.4147,Low,True,ST - Springhill Lake.pdf,A\d+,approved,,A,,2026-07-22T10:38:19.822095+00:00,2026-07-22T10:42:16.143144+00:00
f98dda4b,A53,,C,0.2518,0.4147,Low,True,ST - Springhill Lake.pdf,A\d+,approved,,A,,2026-07-22T10:38:19.869232+00:00,2026-07-22T10:42:16.447200+00:00
10c044cf,A568,,C,0.2518,0.4147,Low,True,ST - Springhill Lake.pdf,A\d+,approved,,A,,2026-07-22T10:38:19.912900+00:00,2026-07-22T10:42:16.761212+00:00
8086460d,A572,,C,0.2518,0.4147,Low,True,ST - Springhill Lake.pdf,A\d+,approved,,A,,2026-07-22T10:38:19.962924+00:00,2026-07-22T10:42:17.068717+00:00
4e768be2,A588,,C,0.2518,0.4147,Low,True,ST - Springhill Lake.pdf,A\d+,approved,,A,,2026-07-22T10:38:20.007276+00:00,2026-07-22T10:42:17.359716+00:00
884a11a0,A6,,C,0.2518,0.4147,Low,True,ST - Springhill Lake.pdf,A\d+,approved,,A,,2026-07-22T10:38:20.051378+00:00,2026-07-22T10:42:17.697106+00:00
bf05289c,A615,,C,0.2807,0.4291,Low,True,ST - Springhill Lake.pdf,A\d+,approved,,A,,2026-07-22T10:38:20.091334+00:00,2026-07-22T10:42:18.010219+00:00
162958c5,A653,,C,0.2518,0.4147,Low,True,ST - Springhill Lake.pdf,A\d+,approved,,A,,2026-07-22T10:38:20.127954+00:00,2026-07-22T10:42:18.207323+00:00
d1956b0b,A706,,C,0.2518,0.4147,Low,True,ST - Springhill Lake.pdf,A\d+,approved,,A,,2026-07-22T10:38:20.170527+00:00,2026-07-22T10:42:18.498516+00:00
c25116d7,A913,,C,0.5388,0.5581,Medium,True,ST - Springhill Lake.pdf,A\d+,approved,,A,,2026-07-22T10:38:20.206942+00:00,2026-07-22T10:42:18.820197+00:00
457f5f0a,A970,,C,0.2518,0.4147,Low,True,ST - Springhill Lake.pdf,A\d+,approved,,A,,2026-07-22T10:38:20.245923+00:00,2026-07-22T10:42:19.151713+00:00
ae46f744,A992,,C,0.2518,0.4147,Low,True,ST - Springhill Lake.pdf,A\d+,approved,,A,,2026-07-22T10:38:20.284731+00:00,2026-07-22T10:42:19.476586+00:00
208ce62c,HSS10X0,,HSS,0.9992,0.7996,Medium,False,ST - Springhill Lake.pdf,HSS\d+X\d+,approved,,HSS,,2026-07-22T10:38:20.322195+00:00,2026-07-22T10:42:19.676348+00:00
c5a5c0b2,HSS16X0,,HSS,0.9992,0.7996,Medium,False,ST - Springhill Lake.pdf,HSS\d+X\d+,approved,,HSS,,2026-07-22T10:38:20.390298+00:00,2026-07-22T10:42:19.991844+00:00
7abce840,HSS18X0,,HSS,0.9992,0.7996,Medium,False,ST - Springhill Lake.pdf,HSS\d+X\d+,approved,,HSS,,2026-07-22T10:38:20.466243+00:00,2026-07-22T10:42:20.346748+00:00
ce0f3877,L1x1x1/4,,L,0.9961,0.7981,Medium,False,ST - Springhill Lake.pdf,L\d+(?:X\d+(?:X\d+(?:(?:\-\d+/\d+|/\d+))?|\-\d+/\d+X\d+/\d+)|\-\d+/\d+X\d+(?:\-\d+/\d+X\d+/\d+|X\d+/\d+)),approved,,L,,2026-07-22T10:38:20.665469+00:00,2026-07-22T10:42:20.515556+00:00
e5c183b8,L4X3,,L,0.5329,0.5665,Medium,True,ST - Springhill Lake.pdf,L\d+X\d+,approved,,L,,2026-07-22T10:38:20.787655+00:00,2026-07-22T10:42:21.945646+00:00
018cb43b,L4x4,,L,0.2623,0.4311,Low,True,ST - Springhill Lake.pdf,L\d+X\d+,approved,,L,,2026-07-22T10:38:20.920082+00:00,2026-07-22T10:42:22.145126+00:00
573c93ca,L5X3,,C,0.4735,0.5255,Low,True,ST - Springhill Lake.pdf,L\d+X\d+,approved,,C,,2026-07-22T10:38:20.978607+00:00,2026-07-22T10:42:22.364542+00:00
b41e36d0,L6X3,,L,0.3881,0.4941,Low,True,ST - Springhill Lake.pdf,L\d+X\d+,approved,,L,,2026-07-22T10:38:21.048689+00:00,2026-07-22T10:42:22.692810+00:00
89ba915d,S-001,,C,0.2518,0.4147,Low,True,ST - Springhill Lake.pdf,S\-\d+,approved,,S,,2026-07-22T10:38:21.137196+00:00,2026-07-22T10:42:23.011437+00:00
5720b3ee,S-002,,C,0.2518,0.4147,Low,True,ST - Springhill Lake.pdf,S\-\d+,approved,,S,,2026-07-22T10:38:21.180096+00:00,2026-07-22T10:42:24.007299+00:00
7a636c3d,S-003,,C,0.2518,0.4147,Low,True,ST - Springhill Lake.pdf,S\-\d+,approved,,S,,2026-07-22T10:38:21.237323+00:00,2026-07-22T10:42:24.267215+00:00
6d038903,S-004,,C,0.2518,0.4147,Low,True,ST - Springhill Lake.pdf,S\-\d+,approved,,S,,2026-07-22T10:38:21.290798+00:00,2026-07-22T10:42:24.559306+00:00
815cbf6f,S-111,,L,0.4632,0.5316,Low,True,ST - Springhill Lake.pdf,S\-\d+,approved,,S,,2026-07-22T10:38:21.343278+00:00,2026-07-22T10:42:24.722613+00:00
4e426b1c,S-112,,L,0.4623,0.5312,Low,True,ST - Springhill Lake.pdf,S\-\d+,approved,,S,,2026-07-22T10:38:21.393870+00:00,2026-07-22T10:42:24.869477+00:00
4b21f295,S-113,,C,0.3758,0.4766,Low,True,ST - Springhill Lake.pdf,S\-\d+,approved,,S,,2026-07-22T10:38:21.439432+00:00,2026-07-22T10:42:25.066111+00:00
7481b537,S-201,,C,0.3437,0.4606,Low,True,ST - Springhill Lake.pdf,S\-\d+,approved,,S,,2026-07-22T10:38:21.486531+00:00,2026-07-22T10:42:25.216098+00:00
7bb396b7,S-202,,C,0.3437,0.4606,Low,True,ST - Springhill Lake.pdf,S\-\d+,approved,,S,,2026-07-22T10:38:21.536272+00:00,2026-07-22T10:42:25.399018+00:00
19e73553,S-203,,C,0.3437,0.4606,Low,True,ST - Springhill Lake.pdf,S\-\d+,approved,,S,,2026-07-22T10:38:21.584557+00:00,2026-07-22T10:42:25.727968+00:00
2ff574d5,S-204,,C,0.3437,0.4606,Low,True,ST - Springhill Lake.pdf,S\-\d+,approved,,S,,2026-07-22T10:38:21.643056+00:00,2026-07-22T10:42:25.920727+00:00
22da513c,S-205,,C,0.3437,0.4606,Low,True,ST - Springhill Lake.pdf,S\-\d+,approved,,S,,2026-07-22T10:38:21.690214+00:00,2026-07-22T10:42:26.118244+00:00
eaed5214,S-206,,C,0.3437,0.4606,Low,True,ST - Springhill Lake.pdf,S\-\d+,approved,,S,,2026-07-22T10:38:21.739121+00:00,2026-07-22T10:42:26.426995+00:00
28c1a644,S-301,,C,0.2518,0.4147,Low,True,ST - Springhill Lake.pdf,S\-\d+,approved,,S,,2026-07-22T10:38:21.784912+00:00,2026-07-22T10:42:26.693705+00:00
0820e24e,S-311,,C,0.2518,0.4147,Low,True,ST - Springhill Lake.pdf,S\-\d+,approved,,S,,2026-07-22T10:38:21.832852+00:00,2026-07-22T10:42:26.961842+00:00
cc4ed7c8,S-312,,C,0.251,0.4143,Low,True,ST - Springhill Lake.pdf,S\-\d+,approved,,S,,2026-07-22T10:38:21.877776+00:00,2026-07-22T10:42:27.158870+00:00
6ccb77f1,S-321,,C,0.2518,0.4147,Low,True,ST - Springhill Lake.pdf,S\-\d+,approved,,S,,2026-07-22T10:38:21.925522+00:00,2026-07-22T10:42:27.340259+00:00
ac48f858,S-322,,C,0.2518,0.4147,Low,True,ST - Springhill Lake.pdf,S\-\d+,approved,,S,,2026-07-22T10:38:21.970365+00:00,2026-07-22T10:42:27.506518+00:00
1d4f8f04,S-401,,C,0.2518,0.4147,Low,True,ST - Springhill Lake.pdf,S\-\d+,approved,,S,,2026-07-22T10:38:22.019669+00:00,2026-07-22T10:42:27.825685+00:00
e50641df,S-402,,C,0.2518,0.4147,Low,True,ST - Springhill Lake.pdf,S\-\d+,approved,,S,,2026-07-22T10:38:22.063579+00:00,2026-07-22T10:42:27.998755+00:00
7cdca397,S-403,,C,0.2518,0.4147,Low,True,ST - Springhill Lake.pdf,S\-\d+,approved,,S,,2026-07-22T10:38:22.108679+00:00,2026-07-22T10:42:28.190434+00:00
6545c14f,S-404,,C,0.2518,0.4147,Low,True,ST - Springhill Lake.pdf,S\-\d+,approved,,S,,2026-07-22T10:38:22.282451+00:00,2026-07-22T10:42:28.367704+00:00
a3430ece,S-501,,C,0.2518,0.4147,Low,True,ST - Springhill Lake.pdf,S\-\d+,approved,,S,,2026-07-22T10:38:22.325994+00:00,2026-07-22T10:42:28.728639+00:00
eddbee84,S-502,,C,0.2518,0.4147,Low,True,ST - Springhill Lake.pdf,S\-\d+,approved,,S,,2026-07-22T10:38:22.372360+00:00,2026-07-22T10:42:28.924363+00:00
64899be0,S-601,,C,0.2518,0.4147,Low,True,ST - Springhill Lake.pdf,S\-\d+,approved,,S,,2026-07-22T10:38:22.418368+00:00,2026-07-22T10:42:29.076701+00:00
55aa935c,A123,,A,0.6535,0.6043,Medium,True,ST.pdf,A\d+,rejected,,,,2026-07-22T10:43:29.981663+00:00,2026-07-22T10:46:13.827248+00:00
ea6af1ee,A205,,A,0.5589,0.5569,Medium,True,ST.pdf,A\d+,approved,,A,,2026-07-22T10:43:30.031095+00:00,2026-07-22T10:46:22.334004+00:00
a66630f3,A5,,A,0.9583,0.7566,Medium,False,ST.pdf,A\d+,approved,,A,,2026-07-22T10:43:30.141380+00:00,2026-07-22T10:46:23.498269+00:00
97f1c910,HSS10x10,,HSS,0.9985,0.7993,Medium,False,ST.pdf,(?:HSS(?:\d+(?:X\d+(?:X\d+(?:/\d+)?|\-\d+/\d+X\d+/\d+)|\-\d+/\d+X\d+(?:\-\d+/\d+X\d+/\d+|X\d+/\d+))|\d+(?:\.\d+)?X\d+(?:\.\d+)?)|HSSCUSTOM\d+),approved,,HSS,,2026-07-22T10:43:30.243583+00:00,2026-07-22T10:46:29.218115+00:00
d81bce6a,HSS3x3,,HSS,0.999,0.7995,Medium,False,ST.pdf,(?:HSS(?:\d+(?:X\d+(?:X\d+(?:/\d+)?|\-\d+/\d+X\d+/\d+)|\-\d+/\d+X\d+(?:\-\d+/\d+X\d+/\d+|X\d+/\d+))|\d+(?:\.\d+)?X\d+(?:\.\d+)?)|HSSCUSTOM\d+),approved,,HSS,,2026-07-22T10:43:30.322714+00:00,2026-07-22T10:46:30.051040+00:00
bbc42c9c,HSS6x8x1/2,,HSS,0.9995,0.7998,Medium,False,ST.pdf,(?:HSS(?:\d+(?:X\d+(?:X\d+(?:/\d+)?|\-\d+/\d+X\d+/\d+)|\-\d+/\d+X\d+(?:\-\d+/\d+X\d+/\d+|X\d+/\d+))|\d+(?:\.\d+)?X\d+(?:\.\d+)?)|HSSCUSTOM\d+),approved,,HSS,,2026-07-22T10:43:30.392612+00:00,2026-07-22T10:46:30.735137+00:00
aec23a96,HSS8X8,,HSS,0.9991,0.7996,Medium,False,ST.pdf,(?:HSS(?:\d+(?:X\d+(?:X\d+(?:/\d+)?|\-\d+/\d+X\d+/\d+)|\-\d+/\d+X\d+(?:\-\d+/\d+X\d+/\d+|X\d+/\d+))|\d+(?:\.\d+)?X\d+(?:\.\d+)?)|HSSCUSTOM\d+),approved,,HSS,,2026-07-22T10:43:30.444825+00:00,2026-07-22T10:46:32.639116+00:00
3c8357d8,A2280,,A,0.6518,0.6034,Medium,True,1200 K_Permit_Bid_Dwgs - Structural.pdf,A\d+,approved,,A,,2026-07-22T10:44:32.591627+00:00,2026-07-22T10:46:37.273064+00:00
d2725a1d,A29,,A,0.6518,0.6034,Medium,True,1200 K_Permit_Bid_Dwgs - Structural.pdf,A\d+,approved,,A,,2026-07-22T10:44:32.644180+00:00,2026-07-22T10:46:38.521679+00:00
02e0b033,A416,,A,0.6518,0.6034,Medium,True,1200 K_Permit_Bid_Dwgs - Structural.pdf,A\d+,approved,,A,,2026-07-22T10:44:32.761052+00:00,2026-07-22T10:46:39.652187+00:00
7f3d2601,A446,,A,0.6518,0.6034,Medium,True,1200 K_Permit_Bid_Dwgs - Structural.pdf,A\d+,approved,,A,,2026-07-22T10:44:32.813183+00:00,2026-07-22T10:46:40.493522+00:00
e76ca4dd,A490,,A,0.6518,0.6034,Medium,True,1200 K_Permit_Bid_Dwgs - Structural.pdf,A\d+,approved,,A,,2026-07-22T10:44:32.873092+00:00,2026-07-22T10:46:41.314923+00:00
f8bcfc9a,A563,,A,0.9661,0.7606,Medium,False,1200 K_Permit_Bid_Dwgs - Structural.pdf,A\d+,approved,,A,,2026-07-22T10:47:35.009415+00:00,2026-07-22T10:48:02.648220+00:00
80fb611c,A959,,A,0.686,0.6205,Medium,True,1200 K_Permit_Bid_Dwgs - Structural.pdf,A\d+,approved,,A,,2026-07-22T10:47:35.156749+00:00,2026-07-22T10:48:06.378661+00:00
2580418b,HSS5x5,,HSS,0.9991,0.7995,Medium,False,1200 K_Permit_Bid_Dwgs - Structural.pdf,(?:HSS(?:\d+(?:X\d+(?:X\d+(?:/\d+)?|\-\d+/\d+X\d+/\d+)|\-\d+/\d+X\d+(?:\-\d+/\d+X\d+/\d+|X\d+/\d+))|\d+(?:\.\d+)?X\d+(?:\.\d+)?)|HSSCUSTOM\d+),approved,,HSS,,2026-07-22T10:47:35.319394+00:00,2026-07-22T10:48:07.142994+00:00
